No structure,IDE_STRCT,Groupe,Statut,Type structure,Charg. conception,Affichage,Responsablilté de gestion,Centre de services,Role VM Inspection,Année de construction,Nom route,Nom obstacle,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,Longitude,Latitude,X,Y
81-05084C,202085,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1960,Avenue Querbes,Autoroute 40 Ouest,75,4,2018/10/25 00:00:00,488,,-73.6458595999673,45.5349580243335,293408.0924,5043903.919
81-05100,6015747,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,chemin des Floralies,Canal Ouest,95.74,4,2017/11/01 00:00:00,315,,-73.526848,45.5050155,302702.0084,5040566.383
81-05105,6056224,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,chemin des Floralies,Canal Sud,99.82,4,2016/10/18 00:00:00,316,,-73.5264664907826,45.5084019388976,302731.9448,5040942.71
81-05110B,6013455,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Avenue Pierre-Dupuy,circuit Gilles-Villeneuve,97.77,4,2017/06/19 00:00:00,205,,-73.5293944617011,45.5079908770831,302503.1405,5040897.108
81-05125A,6017100,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Chemin de fer CP,chemin Upper-Lachine dir. Est,99.1,4,2016/07/05 00:00:00,273,,-73.605965,45.472202,296514.735,5036924.923
81-05125B,6015806,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Chemin de fer CP,chemin Upper-Lachine dir. Est,98.53,4,2016/07/05 00:00:00,770,,-73.6059608704388,45.4723248990526,296515.0759,5036938.581
81-05107A,207709,,Actif Ville de Montréal,"Pont à tablier inférieur, en acier",6-H20,Aucun affichage,Ville Montréal - MTQ - Municipalité,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1930,Route 117 Nord,Rivière des Prairies,99.88,4,2018/10/24 00:00:00,3832,,-73.7280418042875,45.5328964519579,286988.8582,5043689.761
81-05127B,6017281,,Actif Ville de Montréal,Pont à poutres en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Chemin Upper-Lachine,Talus à l'Ouest de l'autoroute Décarie,99.33,4,2018/10/09 00:00:00,41,,-73.6070260986145,45.471149735572,296431.6133,5036808.095
81-05107B,207920,,Actif Ville de Montréal,"Pont à tablier inférieur, en acier",14-H25-S20,Aucun affichage,Ville Montréal - MTQ - Municipalité,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1976,Route 117 Sud,Rivière des Prairies,93.87,4,2018/10/24 00:00:00,4667,,-73.7284121063101,45.5329455808516,286959.9514,5043695.303
81-05136,6018066,,Actif Ville de Montréal,"Pont à pout. béton préc., coul. place",99-Inconnu,Aucun affichage,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1975,rue Sherbrooke Est,Accès Nord au stade Olympique,98.84,4,2017/10/24 00:00:00,6620,,-73.5544112789321,45.5599943880816,300552.2634,5046677.335
81-05141,6034521,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1952,Rue Notre-Dame Est,Chemin de fer de Canadien Pacifique,97.98,4,2017/09/14 00:00:00,702,,-73.543191,45.5317925,301426.5128,5043542.689
81-05144,6036521,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1999,rue Notre-Dame Ouest,"Passage pour piétons, à l'Ouest de St-Augustin",99.69,4,2016/06/15 00:00:00,243,,-73.583358,45.478295,298283.0491,5037599.956
81-05155A,6041696,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1999,CP,rue Chabanel Ouest Dir. Est,99.76,4,2017/04/13 00:00:00,462,,-73.6556935,45.5366165,292640.4039,5044089.669
81-05156C,6036527,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1999,"Voie de service, à l'Ouest du CP","Rue Chabanel Ouest, dir. Ouest",99.86,4,2017/04/13 00:00:00,359,,-73.655784,45.5364685,292633.3039,5044073.236
81-05162,6059515,,Actif Ville de Montréal,Ponceau voûté en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1895,Rue Notre-Dame Est,Ancienne rue Beaudry,99.1,4,2017/08/08 00:00:00,,,-73.5486955,45.5155465,300995.482,5041737.503
81-05192,6032180,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1924,Chemin de fer CP,rue Ontario Est Dir. Ouest,94.61,4,2017/09/14 00:00:00,945,,-73.548797,45.538781,300989.1212,5044319.58
81-05197,6015828,,Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1939,Canadien Pacifique,rue de Rouen,99.48,4,2018/09/20 00:00:00,389,,-73.552514,45.539285,300698.8728,5044375.773
81-05207,6059206,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1930,"CN, au Nord de la rue Turcot",rue Saint-Rémi Dir. Nord,99.23,4,2017/07/17 00:00:00,1218,,-73.5942195,45.472098,297433.0867,5036912.222
81-05273,6033805,,Actif Ville de Montréal,Ponceau rectang. en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1955,Boulevard Henri-Bourassa Est,Ruisseau De Montigny,99.55,4,2017/07/19 00:00:00,,,-73.5999153673851,45.6134502502373,297007.2863,5052621.415
81-05280,6035461,,Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville de Montréal,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1917,CP et Boul. Maisonneuve,Avenue Melrose,99.89,4,2016/08/01 00:00:00,109,,-73.613624,45.468291,295915.2733,5036491.113
81-05294,6041966,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1977,Accès à l'Île Perry,Rivière des Prairies,84.86,4,2017/09/08 00:00:00,121,,-73.698249,45.5470715,289319.7071,5045258.873
81-05297,6017301,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1800,"Parc Raimbault, Nord de Gouin Ouest",Ruisseau Raimbault,97.85,4,2016/09/12 00:00:00,31,,-73.7160845,45.5358365,287923.6595,5044013.908
81-05308,6017322,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1900,"Parc Angrignon, coin Nord-Ouest",À l'Ouest du relais sanitaires,85.4,4,2016/05/26 00:00:00,11,,-73.609321,45.441837,296247.7448,5033550.825
81-05387,6029740,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",16-MS250,Aucun affichage,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,Carrière St-Michel,99.15,4,2017/06/05 00:00:00,272,,-73.618503,45.5761985,295551.4614,5048483.517
81-05388,6029788,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",16-MS250,Aucun affichage,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,Carrière St-Michel,97.07,4,2017/06/08 00:00:00,272,,-73.6177255,45.5758285,295612.0808,5048442.309
81-05451,6033512,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1966,Avenue Pierre-Dupuy,circuit Gilles-Villeneuve,93.57,4,2017/06/13 00:00:00,869,,-73.529043708112,45.5078458289397,302530.5422,5040880.979
81-05465,6056244,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1991,Accès entre l'ave Pierre-Dupuy et l'île Ste-Hélène,Terrain vague,97.33,4,2017/07/14 00:00:00,204,,-73.5328985781136,45.5085099494922,302229.3553,5040954.899
81-05467,6033810,,Actif Ville de Montréal,Pont à poutres-caissons en acier,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Extrémité Ouest de l'Île Notre-Dame,Fleuve Saint-Laurent,99.99,4,2017/12/20 00:00:00,64,,-73.5192923503255,45.4955496776238,303292.1792,5039514.273
81-05475,6036833,,Actif Ville de Montréal,Ponceau voûté en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,2001,Stationnement au Nord du bassin d'anjou,Ruisseau De Montigny,99.99,4,2017/05/11 00:00:00,,,-73.5981501270278,45.6113617433441,297144.6788,5052389.143
81-05476,202206,,Actif Ville de Montréal,Pont à dalle pleine en béton précont.,17-QS660,Aucun affichage,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1999,Rue Bombardier,Autoroute 25 Sud,99.9,4,2016/04/19 00:00:00,1803,,-73.581288,45.611037,298459.8213,5052351.582
81-05493,6036864,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,2009,Boulevard Louis-H.-La Fontaine,Boulevard Louis-H.-La Fontaine,99.98,4,2018/04/03 00:00:00,224,,-73.5641565,45.602798,299795.2856,5051434.749
81-05507,6023440,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal,13 - Arrondissement Pierrefonds-Roxboro,Inspections annuelle et générale par la Ville Montréal,1991,Canadien National,Parc-nature du Bois-de-Liesse,95.4,4,2016/09/15 00:00:00,123,,-73.7619885,45.504417,284327.1358,5040532.909
81-05513,6075162,,Actif Ville de Montréal,"Pont de type Pony-Warren, en acier",98-Autre,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2016,Est de la rue Barr,Autoroute 520 Dir. Est,99.86,4,2016/12/16 00:00:00,176,,-73.6932974293499,45.4844230614354,289689.5935,5038295.763
81-05515,6075161,,Actif Ville de Montréal,"Pont de type Pony-Warren, en acier",98-Autre,Aucun affichage,Ville Montréal - Municipalité,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2016,Est de la rue Isabey,Autoroute 520 Dir. Est,99.92,4,2016/11/04 00:00:00,174,,-73.6813799761829,45.4914570116875,290622.9667,5039075.275
81-05526,6039416,,Actif Ville de Montréal,Pont acier-bois,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1970,Chemin du pavillon des activités nautiques,Lac de l'île Notre-Dame,75,4,2015/04/29 00:00:00,20,,-73.525979,45.500264,302769.7441,5040038.324
81-05536,202155,,Actif Ville de Montréal,Pont à pout.-cais. en béton précont.,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1975,Voie de Service A-40 Ouest,Bretelle A-40 Ouest vers A-13 Nord,99.96,4,2017/11/15 00:00:00,1336,,-73.7315626905972,45.4905180807539,286700.2818,5038981.012
81-05538,6086554,,Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1986,Accès chemin privé,Canal Lachine,92.22,4,2017/12/08 00:00:00,417,,-73.6659086523775,45.4320053494696,291818.6009,5032465.818
81-05542,6087461,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,À l'extrémité Est du canal Sud,Remise souterraine,98.35,4,2018/12/04 00:00:00,259,,-73.5262873931503,45.5107665172144,302746.0252,5041205.483
81-01103A,6005961,P.I. Langelier / Aut. 40,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,14 - Arrondissement Saint-Léonard,Inspections annuelle et générale par la Ville Montréal,1964,boulevard Métropolitain Est,boulevard Langelier,98.78,4,2016/09/14 00:00:00,691,,-73.5780812405499,45.5933614433059,298708.0246,5050387.006
81-01103B,6006400,P.I. Langelier / Aut. 40,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,14 - Arrondissement Saint-Léonard,Inspections annuelle et générale par la Ville Montréal,1964,boulevard Métropolitain Est,boulevard Langelier,99.19,4,2016/09/14 00:00:00,663,,-73.5785758762894,45.5935746241114,298669.4559,5050410.735
81-01203A,202009,P.S. Des Galeries d'Anjou / Aut. 40,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Tonnage réduit,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1975,boulevard des Galeries-D'Anjou,Autoroute 40 Ouest,74,3,2018/09/06 00:00:00,826,,-73.5706582424892,45.5999115552597,299287.8156,5051114.398
81-01203B,6068365,P.S. Des Galeries d'Anjou / Aut. 40,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Tonnage réduit,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1975,boulevard des Galeries-D'Anjou,Autoroute 40 Est,73.93,3,2018/09/06 00:00:00,826,,-73.5704021029398,45.5998993485133,299307.7963,5051113.024
81-02205A,5785636,"P.S. Stinson, CP, Wanklyn / Route 138",Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1963,Rue Stinson,Route 138 Ouest,99.92,4,2018/08/06 00:00:00,398,,-73.649759621185,45.4281059088167,293081.3629,5032029.997
81-02205B,202247,"P.S. Stinson, CP, Wanklyn / Route 138",Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1963,rue Wanklyn,Route 138 Est,99.92,4,2018/08/06 00:00:00,398,,-73.6495699718563,45.4285537305616,293096.2954,5032079.735
81-03111A,6076481,P.I. 43ième Avenue / Aut. 520,Actif Ville de Montréal,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1966,Chemin de la Côte-de-Liesse Dir. Est,43e avenue,99.84,4,2018/10/04 00:00:00,694,,-73.7193690451826,45.4646876585327,287645.542,5036107.803
81-03113A,6011754,P.I. Décarie / CN,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1962,"boulevard Décarie, virage en U au Sud du CN","boulevard Décarie, direction Nord",97.33,4,2018/04/10 00:00:00,256,,-73.6707244626609,45.5070135381123,291459.4978,5040802.253
81-03232A,6011776,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora",Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1960,Chemin de la Côte-de-Liesse Dir. Ouest,Stationnement à l'Est du chemin Canora,70.5,3,2018/05/18 00:00:00,1258,,-73.6549662065135,45.5204387897217,292693.7352,5042291.715
81-03232B,6011780,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora",Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1960,Chemin de la Côte-de-Liesse Dir. Ouest,Rue Stinson,72.34,3,2018/06/04 00:00:00,952,,-73.6555517347469,45.5195095646924,292647.7926,5042188.537
81-03234A,202118,P.S. Boul. Côte-Vertu / Aut. 40,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1961,boulevard de la Côte-Vertu,Autoroute 40 Est,100,4,2018/11/28 00:00:00,2234,,-73.7138203264013,45.4887395388961,288086.5585,5038779.518
